launch_speed,launch_angle,events,bb_type
101.9,0,single,ground_ball
81.5,43,field_out,fly_ball
97.6,43,field_out,fly_ball
87.3,20,single,line_drive
103.8,12,double,line_drive
104.5,-2,field_out,ground_ball
82.6,31,field_out,fly_ball
84.3,-23,field_out,ground_ball
78.8,35,field_out,fly_ball
36.9,-45,field_out,ground_ball
102.4,6,single,ground_ball
76.7,-9,field_out,ground_ball
77.3,-2,field_out,ground_ball
82.5,-5,single,ground_ball
79.3,-24,field_out,ground_ball
76,4,force_out,ground_ball
101,-30,force_out,ground_ball
91.1,15,single,line_drive
84.6,14,single,line_drive
78.6,-14,field_out,ground_ball
100.5,19,field_out,line_drive
86.6,39,field_out,fly_ball
97.2,20,double,line_drive
95.7,36,field_out,fly_ball
77.7,-12,field_out,ground_ball
